Nom,Adresse,Ville,Telephone,Type,Standing,Score,Notes
Le Potager du Marais,"22 rue Rambuteau, 75003",Paris,+33 1 57 40 98 57,Végétarien Bio,€€,8.5,"Menu 100% bio, sourcing local affiché"
Soya Cantine Bio,"20 rue de la Pierre Levée, 75011",Paris,+33 9 54 68 48 24,Bio Vegan,€€,9.0,"100% bio certifié, carte produits origine"
L'Arpège,"84 rue de Varenne, 75007",Paris,+33 1 47 05 09 06,Gastronomique,€€€€,9.5,"3* Michelin, potager propre, ultra premium"
Le Mermoz,"16 rue Jean Mermoz, 75008",Paris,+33 1 53 76 42 00,Bistronomie,€€€,8.0,"Produits saison, mentions local site web"
Café Pinson,"6 rue du Forez, 75003",Paris,+33 9 83 82 53 53,Bio Végétarien,€€,7.5,"100% bio, clientèle sensible qualité"
Les Résistants,"5 rue Oberkampf, 75011",Paris,+33 1 43 55 84 22,Bistronomie,€€,8.5,"Circuits courts affiché, cave naturelle"
Tèrra,"8 rue de la Forge Royale, 75011",Paris,+33 1 46 28 92 91,Brésilien Bio,€€,7.0,"Ingrédients bio mentionnés carte"
Le Potager de Charlotte,"22 rue Rambuteau, 75003",Lyon,+33 4 78 37 10 08,Végétarien,€€,8.0,"Focus produits locaux, clientèle bio"
Culina Hortus,"38 rue de l'Arbre Sec, 69001",Lyon,+33 9 81 94 66 66,Végétarien Bio,€€,9.0,"100% bio, producteurs locaux partenaires"
La Bijouterie,"1 rue de la Martinière, 69001",Lyon,+33 4 72 00 17 58,Bistronomie,€€€,8.5,"Produits saison, sourcing soigné"
Le Kitchen Café,"34 rue Chevreul, 69007",Lyon,+33 4 72 71 61 61,Contemporain,€€,7.5,"Brunch bio, produits frais marché"
L'Esprit Nature,"20 rue du Palais Grillet, 69002",Lyon,+33 4 78 92 95 75,Bio Végétarien,€€,8.0,"Certifié bio, carte détaille origines"
La Source,"9 cours Portal, 33000",Bordeaux,+33 5 56 48 15 15,Végétarien Bio,€€,8.5,"100% bio local, pas de gluten"
Le Prince Noir,"25 Av. Thiers, 33100",Bordeaux,+33 5 56 94 30 50,Gastronomique,€€€€,9.0,"1* Michelin, producteurs régionaux"
Symbiose,"6 rue du Cancéra, 33000",Bordeaux,+33 5 56 44 04 05,Bistronomie,€€€,8.0,"Circuits courts, vins naturels"
Le Bouchon,"7 rue Sainte-Catherine, 33000",Bordeaux,+33 5 56 44 73 73,Bistrot,€€,7.0,"Produits du Sud-Ouest, mentions terroir"
