Nom,Adresse,Ville,Code_Postal,Telephone,Email,Type,Standing,Score,Notes
Biocoop Raspail,37 boulevard Raspail,Paris,75006,+33 1 45 48 78 88,contact@biocooprasp.fr,Coopérative Bio,€€,8.5,Réseau national 700+ magasins
Naturalia République,91 rue de la République,Lyon,69002,+33 4 78 37 80 90,lyon.republique@naturalia.fr,Chaîne Bio,€€,8.0,Filiale Monoprix 200+ magasins
Bio c' Bon Marais,16 rue du Bourg Tibourg,Paris,75004,+33 1 42 74 21 21,marais@biocbon.fr,Chaîne Bio,€€,7.5,Réseau 50+ magasins premium
La Vie Claire Bordeaux,42 rue Sainte-Catherine,Bordeaux,33000,+33 5 56 44 91 91,bordeaux@lavie claire.com,Franchise Bio,€€,8.0,Pionnier bio France 350+ points
Biomonde,15 rue de la Liberté,Marseille,13001,+33 4 91 90 75 75,marseille@biomonde.fr,Coopérative,€€,7.5,Réseau indépendant 400+ magasins
L'Eau Vive,78 rue Mouffetard,Paris,75005,+33 1 43 31 49 49,contact@eauvive.bio,Épicerie Bio Indé,€€,8.5,Pionnier bio Quartier Latin depuis 1975
Satoriz,Zone commerciale,Grenoble,38000,+33 4 76 22 33 44,grenoble@satoriz.fr,Chaîne Bio Premium,€€€,9.0,Haut de gamme 50+ magasins Sud
Rayons Verts,12 place Saint-Michel,Rennes,35000,+33 2 99 79 34 34,rennes@rayonsverts.fr,Coopérative,€€,8.0,SCOP coopérative Bretagne
Bio Monde Toulouse,88 rue des Couteliers,Toulouse,31000,+33 5 61 23 45 67,toulouse@biomonde.fr,Coopérative,€€,7.5,Réseau indépendant
Naturéo,Zone Cap Sud,Avignon,84000,+33 4 90 87 56 56,avignon@natureo.fr,Chaîne Bio,€€,8.0,Chaîne régionale Sud 15 magasins
Biocoop Scarabée,8 rue de la Motte,Rennes,35000,+33 2 99 30 77 00,scarabee@biocoop.fr,Coopérative Bio,€€,8.5,Pionnier bio Rennes 40 ans
La Fourche Online,N/A (100% en ligne),Paris,75000,+33 1 76 38 01 01,hello@lafourche.fr,Marketplace Bio,€€,9.0,Costco du bio -25% permanent en ligne
Naturalia Bastille,8 boulevard Beaumarchais,Paris,75011,+33 1 43 55 92 92,bastille@naturalia.fr,Chaîne Bio,€€,7.5,200+ magasins France
La Vie Saine,33 avenue de Wagram,Paris,75017,+33 1 42 27 51 51,wagram@laviesaine.bio,Épicerie Premium,€€€,8.0,Bio premium parisien
Au Bout du Champ,15 rue du Champ de Mars,Lille,59000,+33 3 20 54 67 89,lille@aboutduchamp.fr,Épicerie Bio,€€,7.5,Bio local Nord producteurs
Les Nouveaux Robinson,5 rue des Capucins,Angers,49000,+33 2 41 87 45 23,angers@nouveauxrobinson.fr,Épicerie Bio,€€,8.0,Bio depuis 1986 Maine-et-Loire
So.bio,Centre commercial,Nice,06000,+33 4 93 88 22 22,nice@sobio.fr,Chaîne Bio,€€,7.5,Réseau Sud-Est France
Biocoop Scarabée Lices,8 boulevard des Lices,Rennes,35000,+33 2 99 30 77 88,lices@biocoop.fr,Coopérative,€€,8.5,Marché bio emblématique Rennes
Biobulle,22 rue de la Paix,Strasbourg,67000,+33 3 88 32 56 78,strasbourg@biobulle.fr,Épicerie Bio,€€,8.0,Bio Alsace producteurs locaux
Naturalia Odéon,12 rue de l'Odéon,Paris,75006,+33 1 43 26 89 89,odeon@naturalia.fr,Chaîne Bio,€€,7.5,Quartier Saint-Germain premium
L'Eau Vive Bastille,55 boulevard Voltaire,Paris,75011,+33 1 47 00 98 98,bastille@eauvive.bio,Épicerie Bio,€€,8.0,Extension L'Eau Vive
La Gambille,18 rue Paradis,Marseille,13006,+33 4 91 81 25 25,marseille@lagambille.fr,Épicerie Bio,€€,7.5,Bio méditerranéen
Le Petit Producteur,9 rue Saint-Guilhem,Montpellier,34000,+33 4 67 66 34 56,montpellier@petitproducteur.fr,Épicerie Circuits Courts,€€€,8.5,Direct producteurs bio Occitanie
Biocoop Le Fenouil,14 avenue Jean Jaurès,Aix-en-Provence,13100,+33 4 42 27 67 89,fenouil@biocoop.fr,Coopérative,€€,8.0,Bio Provence
Day by Day,Multiple locations,Paris,75000,+33 1 84 25 92 00,contact@daybyday.fr,Vrac Bio,€€,8.5,Pionnier vrac 80+ boutiques France
Naturalia Réaumur,78 rue Réaumur,Paris,75002,+33 1 42 36 45 45,reaumur@naturalia.fr,Chaîne Bio,€€,7.5,Bio quartier affaires
Les Comptoirs de la Bio,Zone commerciale,Nantes,44000,+33 2 40 48 23 23,nantes@comptoirsbio.fr,Chaîne Bio,€€,7.5,Réseau Ouest France
Biocoop Île Verte,12 rue de Nantes,Angers,49000,+33 2 41 48 89 90,ileverte@biocoop.fr,Coopérative,€€,8.0,Bio Maine-et-Loire
Vrac'n Roll,23 rue des Martyrs,Paris,75009,+33 9 81 23 45 67,contact@vracnroll.fr,Vrac Bio,€€,8.0,Épicerie vrac zéro déchet
Le Potiron,5 place du Marché,Dijon,21000,+33 3 80 30 45 67,dijon@lepotiron.bio,Épicerie Bio,€€,7.5,Bio Bourgogne producteurs
