Nom,Adresse,Ville,Code_Postal,Telephone,Email,Type,Standing,Score,Notes
Le Potager du Marais,22 rue Rambuteau,Paris,75003,+33 1 57 40 98 57,contact@lepotagerdumarais.fr,Végétarien Bio,€€,8.5,Menu 100% bio sourcing local affiché
Soya Cantine Bio,20 rue de la Pierre Levée,Paris,75011,+33 9 54 68 48 24,hello@soyadirect.com,Bio Vegan,€€,9.0,100% bio certifié carte produits origine
L'Arpège,84 rue de Varenne,Paris,75007,+33 1 47 05 09 06,contact@alain-passard.com,Gastronomique,€€€€,9.5,3* Michelin potager propre ultra premium
Le Mermoz,16 rue Jean Mermoz,Paris,75008,+33 1 53 76 42 00,reservation@lemermoz.fr,Bistronomie,€€€,8.0,Produits saison mentions local site web
Café Pinson,6 rue du Forez,Paris,75003,+33 9 83 82 53 53,bonjour@cafepinson.fr,Bio Végétarien,€€,7.5,100% bio clientèle sensible qualité
Les Résistants,5 rue Oberkampf,Paris,75011,+33 1 43 55 84 22,contact@lesresistants.paris,Bistronomie,€€,8.5,Circuits courts affiché cave naturelle
Tèrra,8 rue de la Forge Royale,Paris,75011,+33 1 46 28 92 91,info@terraparis.com,Brésilien Bio,€€,7.0,Ingrédients bio mentionnés carte
Wild & The Moon,55 rue Charlot,Paris,75003,+33 9 81 16 03 98,hello@wildandthemoon.com,Bio Vegan,€€,8.0,100% bio raw food cold pressed
Balagan,9 rue d'Alger,Paris,75001,+33 1 40 20 72 14,contact@balagan-paris.com,Méditerranéen,€€€,7.5,Produits frais marché mentions bio
Le Clarence,31 avenue Franklin Roosevelt,Paris,75008,+33 1 82 82 10 10,reservation@le-clarence.paris,Gastronomique,€€€€,9.0,2* Michelin sourcing premium terroir
Gentle Gourmet,24 boulevard de la Bastille,Paris,75012,+33 1 43 43 48 49,contact@gentlegourmet.fr,Végétarien Bio,€€,8.0,Certifié bio cuisine créative
Aujourd'hui Demain,18 rue des Blancs Manteaux,Paris,75004,+33 1 42 77 98 72,info@aujourdhuidemain.bio,Bio Végétalien,€€,8.5,100% bio local circuits courts
Abattoir Végétal,61 rue Ramey,Paris,75018,+33 1 42 55 11 11,contact@abattoirvegetal.com,Végétarien,€€,7.0,Produits bio mentions carte
Le Servan,32 rue Saint-Maur,Paris,75011,+33 1 55 28 51 82,reservation@leservan.com,Néobistrot,€€€,8.5,Sourcing soigné produits saison
